Acc     Pass    Bala 
1001	1234	11100
1002	9988	12500
1003	5544	600
1004	7711	7200
1005	2026	15000
1006	8899	1900
1007	1122	45000
1008	4455	2300
1009	6677	6100
1010	1010	9100
6008	9685	44780
8787	2627	41721
9754	8629	46281
5679	9394	13739
7173	6124	25167
3683	4001	39340
3254	3042	33039
5058	8959	27088
4971	2151	1029
8333	8737	44491
9951	9375	11187
3922	7528	9176
6745	3286	19121
3534	6628	16596
8990	5462	21934
2639	3281	48491
8129	8034	13827
9415	7312	26765
6545	3440	41409
7444	5470	18182
5207	7432	36284
7609	2302	4460
7912	8730	42364
2548	5610	9863
7052	5583	44392
2572	1770	9349
6623	3721	47358
6577	9516	36269
2138	1770	1597
7608	1687	13140
5956	8937	46336
4920	2374	42166
6224	5305	2252
6546	2531	20571
6011	9736	6621
9063	7377	25332
2285	8586	9372
8222	7075	16909
8981	5672	48333
3894	5510	40265
5734	9947	43452
4708	7520	41679
4235	1352	23002
3615	4527	10777
2039	4039	37470
7849	2207	47259
3838	6950	2070
3883	6359	15703
7896	3959	45554
6805	7741	32083
7734	1275	32287
4836	7318	27905
5681	6322	16753
8279	7217	42531
7919	5315	20428
4143	3755	37717
6252	4134	44592
4010	5933	35091
5304	3787	12264
4232	2859	15639
3619	2406	2800
6452	5302	44185
3946	5643	46469
5015	1894	30294
4155	4357	14170
6317	1817	17850
9848	5151	39316
7261	2597	8624
5448	9181	7260
4307	7699	43162
6935	8931	29456
4634	3155	25049
3984	1059	28400
2714	9664	5163
5552	7442	45947
7624	1127	25401
3444	9063	1963
4602	8817	7293
8315	8992	3676
9867	3557	5058
